"id","지표","단위","영역","자료종류","추가여부","초등확보","중등확보","고등확보","유치원확보","출처","해석조건"
"resident_age_1_500m_estimate","직선500m 초등 연령 인구 추정","명","development","estimate","신규","241","134","119","337","data_processed/education/library_access_preview.json","2024 공개 인구를 100m 격자 중심점으로 집계한 추정. 1km 연령을 총인구 비중으로 배분. 등록학생·시설이용자 아님. 연령 결측 격자가 있으면 미산출."
"resident_age_2_500m_estimate","직선500m 중등 연령 인구 추정","명","development","estimate","신규","250","137","120","349","data_processed/education/library_access_preview.json","2024 공개 인구를 100m 격자 중심점으로 집계한 추정. 1km 연령을 총인구 비중으로 배분. 등록학생·시설이용자 아님. 연령 결측 격자가 있으면 미산출."
"resident_age_3_500m_estimate","직선500m 고등 연령 인구 추정","명","development","estimate","신규","253","142","125","353","data_processed/education/library_access_preview.json","2024 공개 인구를 100m 격자 중심점으로 집계한 추정. 1km 연령을 총인구 비중으로 배분. 등록학생·시설이용자 아님. 연령 결측 격자가 있으면 미산출."
"park_full_area_per_student_scenario","공원 전체면적÷해당학교 학생수 가정","㎡/명","park","scenario","신규","270","147","129","368","data_processed/education/shared_parks.json","2026 재학생 기준 배분 가정. 공시 전체 공원면적은 실사용면적·수용량이 아님. 대표점은 출입구 아님. 제거 후 재배분 없음; 학생 수나 비교 분모가 없으면 계산을 보류합니다."
"park_same_level_area_per_student_scenario","동일 학교급끼리 공원 공유 가정 면적","㎡/명","park","scenario","신규","271","147","129","368","data_processed/education/shared_parks.json","2026 재학생 기준 배분 가정. 공시 전체 공원면적은 실사용면적·수용량이 아님. 대표점은 출입구 아님. 제거 후 재배분 없음; 학생 수나 비교 분모가 없으면 계산을 보류합니다."
"park_largest_loss_pct_scenario","최대 기여 공원 제거 시 면적 손실 비율","%","park","scenario","신규","161","84","66","239","data_processed/education/shared_parks.json","2026 재학생 기준 배분 가정. 공시 전체 공원면적은 실사용면적·수용량이 아님. 대표점은 출입구 아님. 제거 후 재배분 없음; 학생 수나 비교 분모가 없으면 계산을 보류합니다."
"park_target_straight_m","경로 대상 공원까지 직선거리","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","OSM 경로 계산의 동일 학교·공원 대표점 기준. 유효 경로만 표시. 연결선·출입구·통행허용·안전은 현장 미검증."
"park_origin_snap_m","학교 대표점·보행망 연결거리","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","OSM 경로 계산의 동일 학교·공원 대표점 기준. 유효 경로만 표시. 연결선·출입구·통행허용·안전은 현장 미검증."
"park_destination_snap_m","공원 대표점·보행망 연결거리","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","OSM 경로 계산의 동일 학교·공원 대표점 기준. 유효 경로만 표시. 연결선·출입구·통행허용·안전은 현장 미검증."
"park_route_motorway_m","공원 경로 고속도로급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_trunk_m","공원 경로 간선도로급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_primary_m","공원 경로 주요도로급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_secondary_m","공원 경로 보조간선급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_tertiary_m","공원 경로 집산도로급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_other_m","공원 경로 기타도로급 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"park_route_unknown_m","공원 경로 등급 미확인 구간 길이","m","park","estimate","신규","251","136","119","348","data_processed/education/school_routes.json","선택된 OSM 최단경로의 highway 태그별 길이. 양끝 연결선 제외. 실제 횡단횟수·위험도·안전등급이 아니며 태그 누락·오류 가능."
"zone_walk_intersection_m2","학구도·보행500m 도달권 겹침 면적","㎡","boundary","estimate","신규","266","145","88","0","data_processed/education/boundary_comparison.json","학구도 원장과 OSM 도달권의 도형 교차 면적. 실제 거주학생·출입구 접근성·통학 안전을 확인한 결과가 아닙니다."
"academies_walkshed","보행 도달권 내 학원·교습소 관측","곳","academy","observation","신규","272","147","129","369","data_processed/education/academy_school_context.json","좌표를 확보한 등록시설 대표점 포함 집계. 6,839개 중 좌표확보6,810개 원장 기준. 출입구 경로·참여율·교육품질 아님."
"academies_arts_sports_500m","직선500m 예술·체육 학원 관측","곳","academy","observation","신규","272","147","129","369","data_processed/education/academy_school_context.json","등록 교습분류의 예술·체육 시설 수. 위치 미확보 시설 제외. 학생 실제 이용·사교육 참여율 아님."
"curriculum_advertised_courses","공동교육과정 공고 과목수","과목","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"curriculum_advertised_seats","공동교육과정 공고 모집인원 합","명","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"curriculum_subject_groups","공동교육과정 공고 과목군 수","개","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"curriculum_hub_courses","공동교육과정 거점형 공고 과목수","과목","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"curriculum_online_courses","공동교육과정 온라인형 공고 과목수","과목","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"curriculum_band_courses","공동교육과정 밴드형 공고 과목수","과목","school","observation","신규","0","0","129","0","data_processed/education/curriculum_network.json","2026학년도 2학기 고등학교 공개 공고 원장 기준. 0은 수집 공고에서 미관측. 개설확정·실제 등록/고유 학생수 아님; 전수 사업목록 아님."
"residential_area_scenario","주거구역 내부통행 가정 도달영역","㎡","boundary","scenario","신규","0","147","129","369","data_processed/education/residential_scenario.json","중·고·유치원 OSM 주거구역 내부통행 가정. 실제 500m 이동거리·출입허용·안전 미검증. 공원면적 원형 대체값 사용. 현재 도달권을 바꾸지 않음."
"residential_added_area_scenario","주거구역 내부통행 가정 추가영역","㎡","boundary","scenario","신규","0","147","129","369","data_processed/education/residential_scenario.json","중·고·유치원 OSM 주거구역 내부통행 가정. 실제 500m 이동거리·출입허용·안전 미검증. 공원면적 원형 대체값 사용. 현재 도달권을 바꾸지 않음."
"residential_park_proxy_area_scenario","내부통행 가정 영역의 공원대체면적","㎡","boundary","scenario","신규","0","147","129","369","data_processed/education/residential_scenario.json","중·고·유치원 OSM 주거구역 내부통행 가정. 실제 500m 이동거리·출입허용·안전 미검증. 공원면적 원형 대체값 사용. 현재 도달권을 바꾸지 않음."
"residential_park_proxy_pct_scenario","내부통행 가정 영역의 공원대체면적 비율","%","boundary","scenario","신규","0","147","129","369","data_processed/education/residential_scenario.json","중·고·유치원 OSM 주거구역 내부통행 가정. 실제 500m 이동거리·출입허용·안전 미검증. 공원면적 원형 대체값 사용. 현재 도달권을 바꾸지 않음."
"road_closure_tested_segments","도로구간 제거 가정 검사 구간수","개","boundary","scenario","신규","152","76","58","212","data_processed/education/road_resilience.json","기초 공원 경로가500m 이내인 학교만 OSM 양끝노드 구간 제거 실험. 실제 폐쇄·확률·안전 아님. 기초경로 미확보는0 아님; 전체망 단절 아님."
"road_closure_lost_access_segments","구간 제거 시 500m 공원 경로 미확보 수","개","boundary","scenario","신규","152","76","58","212","data_processed/education/road_resilience.json","기초 공원 경로가500m 이내인 학교만 OSM 양끝노드 구간 제거 실험. 실제 폐쇄·확률·안전 아님. 기초경로 미확보는0 아님; 전체망 단절 아님."
"road_closure_max_extra_m","도로구간 제거 가정 최대 추가거리","m","boundary","scenario","신규","112","60","45","169","data_processed/education/road_resilience.json","기초 공원 경로가500m 이내인 학교만 OSM 양끝노드 구간 제거 실험. 실제 폐쇄·확률·안전 아님. 기초경로 미확보는0 아님; 전체망 단절 아님."
